                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7176,                0.43221,                0.95142,                0.97386,                0.96981,                0.98517,                0.79037,                0.71705,                0.35395,                0.88742,             0.00038375,             0.00038375,             0.00038375
                     37,                0.70549,                0.42259,                0.94759,                0.96737,                0.97518,                 0.9881,                0.79074,                0.73075,                0.34912,                0.88388,               0.000359,               0.000359,               0.000359
                     38,                0.71047,                0.42661,                0.94671,                0.97342,                0.97375,                0.98857,                0.80424,                0.70386,                0.34537,                 0.8819,             0.00033425,             0.00033425,             0.00033425
                     39,                 0.6971,                0.42191,                0.94552,                0.97548,                0.97638,                0.99023,                0.80329,                 0.6923,                0.33524,                0.87248,              0.0003095,              0.0003095,              0.0003095
                     40,                0.68721,                0.42326,                0.94145,                0.96258,                0.97488,                0.98885,                 0.8033,                0.68668,                0.33871,                0.87122,             0.00028475,             0.00028475,             0.00028475
                     41,                 0.6555,                0.34599,                0.90382,                0.97496,                0.98111,                0.98984,                0.80064,                0.70772,                0.33579,                 0.8772,                0.00026,                0.00026,                0.00026
                     42,                0.63457,                0.33211,                0.88954,                 0.9736,                0.98906,                0.98953,                0.80321,                0.69433,                0.33319,                0.87245,             0.00023525,             0.00023525,             0.00023525
                     43,                0.62419,                0.32908,                0.89169,                0.96852,                0.98941,                0.98979,                0.81263,                0.68104,                0.32573,                0.86893,              0.0002105,              0.0002105,              0.0002105
                     44,                0.59769,                0.31917,                0.87935,                0.98642,                0.97223,                0.99067,                0.81386,                0.66034,                0.32424,                0.86067,             0.00018575,             0.00018575,             0.00018575
                     45,                0.59059,                0.31654,                0.88131,                0.98014,                 0.9754,                0.98841,                0.81439,                0.65389,                 0.3204,                 0.8566,               0.000161,               0.000161,               0.000161
                     46,                0.59129,                0.31387,                0.87783,                0.98612,                0.97031,                0.99124,                0.81704,                0.64816,                0.31615,                 0.8563,             0.00013625,             0.00013625,             0.00013625
                     47,                0.58289,                0.31332,                0.87591,                0.98281,                0.97359,                 0.9904,                0.82153,                0.64416,                0.31291,                0.85569,              0.0001115,              0.0001115,              0.0001115
                     48,                0.57634,                0.30825,                0.87438,                  0.986,                0.97125,                0.99045,                0.82362,                0.62733,                0.31193,                0.85115,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.57161,                0.30773,                0.87456,                0.98411,                0.97144,                0.99081,                0.82935,                0.62393,                0.31077,                0.84984,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.56214,                0.30243,                 0.8661,                0.98453,                 0.9727,                0.99117,                0.82944,                0.62575,                0.31156,                0.84979,              3.725e-05,              3.725e-05,              3.725e-05
